# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
namebaroqueforwii	Baroque for Wii (Japan) (Rev 1)
namebarriosesamopreparadoslistoscocoelvideojuego	Barrio Sesamo - Preparados Listos Coco! El Videojuego (Europe) (Es,Nl)
namebaseballblast	Baseball Blast! (USA)
namebasketballhalloffameultimatehoopschallenge	Basketball Hall of Fame - Ultimate Hoops Challenge (USA) (En,Fr,Es)
namebassfishingwiirokumarudensetsu	Bass Fishing Wii - Rokumaru Densetsu (Japan)
namebassfishingwiiworldtournament	Bass Fishing Wii - World Tournament (Japan)
namebassproshopsthehunt	Bass Pro Shops - The Hunt (USA)
namebassproshopsthehunttrophyshowdown	Bass Pro Shops - The Hunt - Trophy Showdown (USA)
namebassproshopsthestrike	Bass Pro Shops - The Strike (USA)
namebassproshopsthestriketournamentedition	Bass Pro Shops - The Strike - Tournament Edition (USA)
namebatmanthebraveandtheboldthevideogame	Batman - The Brave and the Bold - The Videogame (Europe) (En,Fr,De,Es,It,Nl)
namebattalionwars2	Battalion Wars 2 (Europe) (En,Fr,De,Es,It)
namebattleofgiantsdinosaursstrike	Battle of Giants - Dinosaurs Strike (USA) (En,Fr,Es)
namebattleofthebands	Battle of the Bands (Europe) (En,Fr,De,Es,It)
namebattleragemechconflict	Battle Rage - Mech Conflict (USA)
namebattleship	Battleship (Europe) (En,Fr,De,Es,It)
namebattlevschess	Battle vs. Chess (Europe) (En,Fr,De,Es,It)
namebauernhofder	Bauernhof, Der (Germany)
namebeachfunsummerchallenge	Beach Fun - Summer Challenge (Europe) (En,Fr,De,Es,It)
namebeastly	Beastly (Europe) (En,Fr,De,Es,It,Nl)
namebeatlestherockband	Beatles, The - Rock Band (Europe) (En,Fr,De,Es,It)
namebeatthebeatrhythmparadise	Beat the Beat - Rhythm Paradise (Europe, Australia) (En,Fr,De,Es,It)
nameben10alienforce	Ben 10 - Alien Force (Europe) (En,Fr,De,Es,It)
nameben10alienforcevilgaxattacks	Ben 10 - Alien Force - Vilgax Attacks (Europe) (En,Fr,De,Es,It)
nameben10galacticracing	Ben 10 - Galactic Racing (Europe) (En,Fr,De,Es,It)
nameben10omniverse	Ben 10 - Omniverse (Europe) (En,Fr,De,Es,It)
nameben10omniverse2	Ben 10 - Omniverse 2 (Europe) (En,Fr,De,Es,It)
nameben10protectorofearth	Ben 10 - Protector of Earth (Europe) (En,Fr,De,Es,It)
nameben10ultimatealiencosmicdestruction	Ben 10 - Ultimate Alien - Cosmic Destruction (Europe) (En,Fr,De,Es,It)
namebenjaminbluemchentoeroeoeoeimzoo	Benjamin Bluemchen - Toeroeoeoe im Zoo (Germany)
namebermudatriangle	Bermuda Triangle (Europe) (En,Fr,De,Es,It)
namebermudatrianglesavingthecoral	Bermuda Triangle - Saving the Coral (USA)
namebeyblademetalfusionbattlefortress	Beyblade - Metal Fusion - Battle Fortress (USA) (En,Fr,Es)
namebeyblademetalfusioncounterleone	Beyblade - Metal Fusion - Counter Leone (Europe) (En,Ja,Fr,De,Es,It)
namebibiblocksbergdasgrossehexenbesenrennen	Bibi Blocksberg - Das grosse Hexenbesen-Rennen! (Germany) (Rev 1)
namebibiblocksbergdasgrossehexenbesenrennen2	Bibi Blocksberg - Das grosse Hexenbesen-Rennen 2 (Germany)
namebibitinadasgrossereiterfest	Bibi & Tina - Das grosse Reiterfest (Germany)
namebienvenuechezleschtis	Bienvenue chez les Ch'tis (France)
namebigbeachsports	Big Beach Sports (Europe) (En,Fr,De,Es,It,Nl)
namebigbeachsports2	Big Beach Sports 2 (Europe, Australia) (En,Fr,De,Es,It,Nl)
namebigbrainacademyforwii	Big Brain Academy for Wii (Europe) (En,Fr,De,Es,It)
namebigbrainacademywiidegree	Big Brain Academy - Wii Degree (USA) (En,Fr,Es)
namebigbuckhunterpro	Big Buck Hunter Pro (USA)
namebigcatchbassfishing	Big Catch - Bass Fishing (Europe) (En,Fr,De,Es,It)
namebigcatchbassfishing2	Big Catch - Bass Fishing 2 (Europe, Australia) (En,Fr,De,Es,It)
namebigfamilygames	Big Family Games (Europe) (En,Fr,De,Es,It)
namebigfootcollisioncourse	Bigfoot - Collision Course (Europe) (En,Fr,De,Es,It,Nl)
namebigfootkingofcrush	Bigfoot - King of Crush (USA) (En,Fr,Es)
namebiggestloserchallengethe	Biggest Loser Challenge, The (Europe, Australia)
namebiggestloserthe	Biggest Loser, The (UK)
namebigleaguesports	Big League Sports (USA) (En,Fr)
namebigleaguesportssummer	Big League Sports - Summer (USA) (En,Fr)
namebigs2the	Bigs 2, The (USA)
namebigs2thebaseball	Bigs 2, The - Baseball (UK)
namebigsthe	Bigs, The (Europe)
namebillysbootcampwiideenjoydiet	Billy's Boot Camp - Wii de Enjoy Diet! (Japan)
namebillythewizardrocketbroomstickracing	Billy the Wizard - Rocket Broomstick Racing (Europe) (En,Fr,De,Es,It,Nl)
namebiohazard	Biohazard (Japan)
namebiohazard4wiiedition	Biohazard 4 - Wii Edition (Japan)
namebiohazardthedarksidechronicles	Biohazard - The Darkside Chronicles (Japan)
namebiohazardtheumbrellachronicles	Biohazard - The Umbrella Chronicles (Korea)
namebiohazardumbrellachronicles	Biohazard - Umbrella Chronicles (Japan)
namebiohazardzero	Biohazard Zero (Japan)
namebionicleheroes	Bionicle Heroes (Europe) (En,Fr,De,Es,It,Da)
namebirthdaypartybash	Birthday Party Bash (USA) (En,Fr,Es) (Rev 1)
namebittripcomplete	Bit.Trip Complete (Europe)
nameblackeyedpeasexperiencethe	Black Eyed Peas Experience, The (Europe) (En,Fr,De,Es,It)
nameblastworksbuildtradedestroy	Blast Works - Build, Trade, Destroy (Europe) (En,Fr,De)
nameblazingangelssquadronsofwwii	Blazing Angels - Squadrons of WWII (Europe) (En,Fr,De,Es,It)
namebleachshatteredblade	Bleach - Shattered Blade (Europe) (En,Fr,De,Es,It)
namebleachversuscrusade	Bleach - Versus Crusade (Japan)
namebleachwiihakujinkiramekurondo	Bleach Wii - Hakujin Kirameku Rondo (Japan)
nameblobcolorfulnakibou	Blob - Colorful na Kibou (Japan)
nameblockparty20games	Block Party - 20 Games (Europe) (En,Fr,De,Es,It)
namebobthebuilderfestivaloffun	Bob the Builder - Festival of Fun (Europe) (En,Fr,De,Es,Nl)
namebokujoumonogatariwakuwakuanimalmarch	Bokujou Monogatari - Waku Waku Animal March (Japan) (Rev 1)
namebokujoumonogatariyasuraginoki	Bokujou Monogatari - Yasuragi no Ki (Japan)
namebokutosimnomachi	Boku to Sim no Machi (Japan)
namebokutosimnomachiagentgokuakushachoukarasekaiosukuedaisakusen	Boku to Sim no Machi Agent - Gokuaku Shachou kara Sekai o Sukue Daisakusen! (Japan)
